file	obj	time	gap	objs	times	gaps	iters
sdrdp_wireless_200_0.184_2.txt.out	4	91.3752	0.0	[33.0, 18.0, 15.0, 10.0, 7.0, 6.0, 5.0, 4.0]	[0.112156, 0.337623, 0.453499, 0.858097, 1.264773, 8.754577, 11.721464, 91.372228]	[94.276094, 87.029746, 83.258841, 72.608943, 60.831352, 49.031782, 37.201878, 0.0]	[984, 1689, 2095, 2500, 7267, 62752, 93142, 868005]
sdrdp_wireless_200_0.184_3.txt.out	0	160.469	0.0	[16.0, 13.0, 11.0, 9.0, 8.0, 6.0, 3.0, 2.0, 1.0, 0.0]	[0.098299, 0.669553, 1.057587, 1.580083, 1.587517, 2.018971, 5.748188, 5.750321, 7.74398, 156.219578]	[121.338384, 118.635523, 121.303928, 124.930412, 128.046714, 137.395618, 172.718189, 209.077284, 299.873094, 1077327669764.6938]	[700, 1718, 1996, 7555, 7608, 10598, 20781, 20791, 38168, 1321057]
sdrdp_wireless_200_0.184_4.txt.out	5	46.7095	0.0	[28.0, 16.0, 13.0, 12.0, 9.0, 8.0, 7.0, 6.0, 5.0]	[0.101795, 0.394715, 0.854171, 1.41031, 1.857395, 4.555649, 9.21443, 19.096417, 20.918293]	[91.709184, 82.867485, 78.913828, 76.78142, 68.730863, 62.75182, 52.117448, 41.666667, 30.0]	[784, 1205, 1205, 8336, 9907, 14775, 59728, 170397, 189558]
sdrdp_wireless_200_0.184_5.txt.out	4	155.64	0.0	[30.0, 19.0, 13.0, 12.0, 5.0, 4.0]	[0.102586, 0.322261, 0.6283, 0.882833, 1.493004, 40.578813]	[100.233456, 95.738831, 92.478228, 91.851413, 79.622149, 44.365806]	[716, 1112, 1660, 1675, 8165, 491171]
sdrdp_wireless_200_0.184_6.txt.out	3	813.885	0.0	[22.0, 16.0, 11.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0]	[0.103596, 0.652149, 1.167445, 1.624967, 5.231652, 7.467422, 7.833939, 8.494472, 44.91551, 700.860422]	[101.269185, 98.995342, 98.538679, 97.562719, 94.450493, 91.773315, 89.201257, 85.607576, 67.763987, 33.333333]	[714, 1479, 6846, 10042, 17406, 28044, 30120, 37385, 414223, 8539362]
sdrdp_wireless_200_0.184_7.txt.out	7	1200.02	16.1064	[28.0, 19.0, 16.0, 12.0, 10.0, 9.0, 8.0, 7.0]	[0.220083, 0.615355, 0.951725, 1.442311, 2.490424, 5.144648, 10.618877, 80.171493]	[85.084003, 76.687188, 72.316035, 62.712085, 55.243842, 49.911521, 41.235034, 27.252567]	[935, 1789, 1813, 7872, 14122, 23669, 66974, 674111]
sdrdp_wireless_200_0.184_8.txt.out	8	1200.24	19.128700000000002	[28.0, 17.0, 12.0, 10.0, 9.0, 8.0]	[0.103454, 0.74333, 1.189045, 1.522069, 14.092446, 476.755545]	[87.780112, 72.861647, 61.435871, 53.723046, 42.09628, 22.727469]	[848, 1860, 7283, 11138, 122200, 5309444]
sdrdp_wireless_200_0.184_9.txt.out	1	220.662	0.0	[25.0, 18.0, 15.0, 8.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0]	[0.116371, 0.323164, 0.68327, 1.060644, 1.411994, 7.707834, 15.699072, 19.918188, 112.287183, 220.658741]	[105.314537, 106.382969, 107.029851, 112.240155, 115.925286, 110.920244, 108.711979, 110.126155, 93.573944, 0.0]	[918, 1314, 1554, 4470, 8171, 50649, 149997, 189577, 1292570, 2921625]
sdrdp_wireless_20_0.384_0.txt.out	3	0.013179	0.0	[3.0]	[0.007043]	[66.666667]	[27]
sdrdp_wireless_20_0.384_1.txt.out	3	0.017104	0.0	[5.0, 4.0, 3.0]	[0.007612, 0.009418, 0.01688]	[40.0, 25.0, 0.0]	[68, 87, 133]
